,Unnamed: 0,New Users,Users,Organic Searches,Pageviews,Avg. Session Duration,residuals,an-inconvenient-youth,arts,baseball,basketball,books,campus,campus-life,cartoon,column,culture,dbk-context,dbk-en-espanol,diversions,entretenimiento-y-cultura-dbk-en-espanol,fashion,field-hockey,food,football,gaming,guest-column,gymnastics,lacrosse,letters-to-the-editor,local,mens-basketball,mens-lacrosse,mens-soccer,movies,multimedia,music,nation,news,notes-from-the-newsroom,noticias-dbk-en-espanol,obscure-food,opinion,opinion-dbk-en-espanol,photo,podcasts,podcasts-diversions,quarantine-obsession,science-tech,sex-in-college-park-2022,soccer,softball,special-projects,sports,staff-editorial,state,tech,terps-watch,the-dive,track-field,tv,uncategorized,video,volleyball,womens-basketball,womens-lacrosse,womens-soccer,womens-tennis,world,wrestling,umd,student,dorm,covid,housing,college park,review,dot
Unnamed: 0,1.0,-0.24218017435388664,-0.26054055594363773,-0.2347054564237249,-0.25709677811084747,0.022223976057348688,0.22431032943590118,0.006839396534036047,-0.033556742353660636,0.02292156607894537,0.022228977597529714,-0.021982092514111578,0.05350813553034689,0.0025233151923865897,0.06889976721353233,-0.06297979429599247,-0.0737763631693101,0.009210089710462941,0.0010332017866005441,-0.18123252509186105,-0.012252793297298606,-0.04111204647077841,0.005372829092990385,-0.036479785529103394,0.05065962897899558,-0.03206861791434172,0.016049511148913474,0.010487022583496635,0.020840468184867667,0.010043908200395388,0.07219107154317296,0.00890396500092699,0.01942515420559156,0.022794031183424802,-0.08275798178544556,-0.0032557410198831033,-0.09079873100463193,0.004979068602897483,0.06214521566024516,0.01616711872342644,0.004479396061343044,-0.007704339065048099,-0.03482930788545673,0.0011303808059842256,-0.005136144898141903,-0.014689870353039331,0.0013876049493046026,-0.010929337859129503,-0.009429554559962968,-0.023692785819771453,0.013933074165743988,0.02173451784114283,-0.009374624095267632,0.0743398709248331,0.012857639635965583,-0.005437634409875378,-0.02305584279099596,0.012948120222518596,-0.007675896689284778,0.018099846621594296,-0.08872401722859544,0.039508230415830084,0.011027293664118809,0.025727161468114552,0.023738826712897034,0.002860503164806604,0.010149861064204568,0.012351785793833878,-0.0047296581892820825,0.030320704931773558,0.05461265270057643,-0.021629015219203858,-0.014560038909300965,0.030886275036875844,-0.003744176613945907,0.09660896055592594,-0.11229427976954137,0.007702112253500706
New Users,-0.24218017435388664,1.0,0.9833433108537051,0.9356603410241839,0.978705833827477,-0.001689264304402072,-0.9350727352751041,-0.0034456811048227363,0.00038571317582576734,-0.008905442261677244,-0.006033570068495173,0.010674890581304514,-0.02610125744569535,0.005818612164701542,-0.009858285414574114,0.03314153577653891,0.082282138842165,-0.0031505886145110113,-0.004777544392978125,0.08366974355733736,-0.000729130921821706,0.02517718908841159,-0.010940426233557128,0.022738298622731152,-0.017593639153430783,0.002068614629001054,-0.0036416781862869483,-0.007483762741476431,-0.009724639366144934,-0.002763685312345733,-0.009818513799775556,-0.007854022772234454,-0.010471635645363828,-0.011199579923363056,0.017450599423630305,-0.004234399628315962,0.023569005478044292,-0.003995346982490245,-0.019625954074792205,-0.0021016518856687193,-0.005156083542230517,-0.0008912609423138174,0.028603958294830176,0.000607271069292558,-0.003056765568456616,-0.002115690176381511,-0.0021464585261855764,-0.00155661318793658,-0.006053616288112878,0.023980649969640028,-0.011925183790555639,-0.007578958962701064,0.009645791629368692,-0.036011383742851205,0.0023703418538296933,0.02620215620639455,0.019569942060254468,-0.013494726083581113,-0.001523748321943663,-0.005903203394635285,0.04162192270640266,-0.03750132091064919,-0.0050406901058040144,-0.006840181031204757,-0.006891588954790013,-0.00902770573138074,-0.009404271755168317,-0.004306704708165527,-0.0019074053926737599,-0.0097042949586583,-0.026369590341823904,-0.014792162697829297,0.009538043762390166,-0.0074731911554495375,0.0012706903192275679,-0.01282189952149898,0.019652854293262023,0.004538007752379374
Users,-0.26054055594363773,0.9833433108537051,1.0,0.8929613981069409,0.9972978317167402,0.0033843599017656513,-0.8940027913951424,-0.004051173185888845,-0.0005232533755492242,-0.003604478412185702,-0.0009397392221857935,0.010579619416495892,-0.01844263788703343,0.005449048533808079,-0.001492186753641016,0.04015407270225531,0.07268386934379399,-0.0035201472521410883,-0.005442623001471379,0.0678106848882689,-0.0011653462677249132,0.02102385586637439,-0.00800202068008535,0.020528479339375575,-0.015237546927028911,3.5040698923762605e-05,-0.0016942736538168705,-0.007644184857021057,-0.006770494933819206,-0.0011280903046174925,-0.005632507064218984,-0.0060217238846538455,-0.009781137430177202,-0.006242619694217728,0.011440660040090605,-0.0037670349892039287,0.01600535534954027,-0.0047519193119532725,-0.008655803699317711,-0.0022461440369809286,-0.005676940024792008,-0.0016640773218407577,0.03891087314152756,0.000373971767276146,-0.0016745498152236965,-0.002108513691697523,-0.0021627332052141994,-0.0018685648510450795,-0.005602632459809234,0.023747233003950208,-0.0035094825722100692,-0.007638910688275687,0.014490862141362828,-0.02733605699476437,0.009978824982272977,0.028728656717147825,0.017209063201726917,-0.01618687327648676,-0.0018858781138955945,-0.0048458968792838685,0.03295212884928314,-0.049894619314747014,-0.005163440700358004,-0.003914907204519309,-0.004309515769185971,-0.008959117149654208,-0.004502929588949637,-0.004794683768637319,0.0013493423546542271,-0.009678893479925685,-0.019062710707158093,-0.010175046222034707,0.01078400209752316,-0.002833309780693817,0.0054783240071537625,-0.008674620837662952,0.012179611841950723,0.004491576178086037
Organic Searches,-0.2347054564237249,0.9356603410241839,0.8929613981069409,1.0,0.8898154478310114,-0.002090198540671418,-0.9970094672704735,-0.003071487852364414,0.0016400559129132286,-0.009034510819505296,-0.011073126723292352,0.013071140075291534,-0.03278553434192599,0.006783082703440787,-0.011605991973704616,0.02643704016750908,0.0983885064138191,-0.0030604003268998154,-0.004679456959443072,0.10545236104839821,-0.00025562443977648,0.03214812756986273,-0.011756746190909927,0.02491855881582389,-0.02406063206589011,0.004377445848252366,-0.0048331423790234,-0.007732422406565143,-0.01054178811310483,-0.003149403988310057,-0.02020275466964504,-0.00929359023557348,-0.011553432511619348,-0.01341341650602884,0.025847959572506442,-0.004336981278856158,0.03185182077427805,-0.0037313213807917294,-0.03579718668724151,-0.001947092545325456,-0.004918532215867058,-0.00013326165241787458,0.020363441336636087,-0.0003001367583435069,-0.0026014184245552793,-0.0020254555688853843,-0.0018577800360018836,-0.0014943230822886168,-0.006885131667575036,0.02511865214273404,-0.01460318645046424,-0.007112394486227334,0.008045791728748284,-0.043372121973516586,-0.004224308127598882,0.006287893522700828,0.02340747863664702,-0.01337472184882989,-0.0016800186339230069,-0.0059801496347264204,0.05236215374814119,-0.02491994477769768,-0.00454992178260009,-0.011293324499985456,-0.010400494186240977,-0.008221735092281262,-0.009809762548319731,-0.0041218755800863024,-0.0017950466751319879,-0.009248767856708006,-0.03289049148651078,-0.014876733129574106,0.014231833227652986,-0.012216626882748202,0.0021957877348310504,-0.022798448027741964,0.03007281983394881,0.0016282812219712568
Pageviews,-0.25709677811084747,0.978705833827477,0.9972978317167402,0.8898154478310114,1.0,0.009063369399522871,-0.890933994196699,-0.004166535905262929,0.000715029355495453,-0.004214469843172644,0.000322301753548754,0.011664589384164729,-0.017387483668111877,0.005659348425749663,-0.0017798214617306023,0.03817643277846181,0.071252627949812,-0.0035746288594688115,-0.004865716986963493,0.06703953305836058,-0.001200453689038213,0.020380255846139207,-0.00812642052964706,0.01970411675874618,-0.014839835080706252,-0.0004821447855103483,-0.00230996017772698,-0.00746174708986187,-0.00582845285775991,-0.0014161468084506982,-0.0038637713575113614,-0.006256027426908306,-0.009032862046264396,-0.005028935876471818,0.01167442740486014,-0.003678660643598988,0.01593415800098117,-0.004173111809893355,-0.007508931875023824,-0.0018215821715120693,-0.005237245569884462,-0.001657636178625009,0.037003275194657695,0.00102996222529983,-0.001417302304650578,-0.0022178771037129103,-0.002161908271492196,-0.0019083228895441988,-0.004738565438142722,0.021920410156828742,-0.0022991788260093723,-0.007793977667279532,0.015311868974062738,-0.026509492916469757,0.010641349376902821,0.027559108246851642,0.017705094597893888,-0.016180024946492122,-0.0019627477357106915,-0.0048840361921109725,0.03269553889723578,-0.05009247492963991,-0.004875610810389327,-0.003916549262366639,-0.0026238312036378896,-0.00909695662338947,-0.004084016160546327,-0.004803520436451533,0.0015172053083129377,-0.009877667517888905,-0.018115341054953146,-0.01056743722228312,0.011719614212977424,-0.003135710436585083,0.006002113305950156,-0.006858351507877637,0.01091166303657411,0.0033618285943870273
Avg. Session Duration,0.022223976057348688,-0.001689264304402072,0.0033843599017656513,-0.002090198540671418,0.009063369399522871,1.0,0.0025541127871484327,-0.005786282138240313,-0.002622192173929392,-0.002609826543805718,0.006384406118779058,-0.0071067147298158545,0.01514816248569044,-0.0013927496271142264,-0.00704826412595018,0.01148274313442076,-0.013033021872301206,-0.0050106155317045965,-0.0024863936592607197,-0.017614609502990562,-0.002892358751452304,0.009052144869064678,-0.0016756541021271634,0.005374411654132221,0.003474325770072065,-0.008671744248531402,0.001720369501964349,0.010948469839523628,-0.0102402881982878,-0.0030301588645020813,0.009108859581632189,-0.00495217181347448,-0.018470264624808587,0.01386574995976654,-0.012841165777745314,0.0005155700860049955,0.0016047634164731016,0.007444326975922822,0.02719088678290514,0.015021939117877544,-0.0019073294658927581,-0.004495694137204059,0.006972743736368909,0.0008387109554291565,-0.0021591744904902585,0.008443989976959115,0.001729911150948193,-0.0035425611830157996,0.025120078982144262,-0.0011703398036799816,0.01578772029572108,-0.006838226884994127,0.008157229617860065,-0.006801068733501429,-0.00620428927419063,-0.006774587780691909,-0.0047075434989514746,-0.013564703106751924,-0.0028923587514523043,-0.004116885617047795,-0.013790825383503671,-0.014330431939699979,-0.00035552622148298543,0.0030530122440248783,0.012512323574503431,-0.010273928994537284,0.0011260233053054223,-0.0064698435197202454,0.000300547306535374,-0.00010094735126412392,0.014072927372983829,0.001064342466702419,0.010188357187102395,0.009552469584410011,0.015495469851793862,0.014998433081127527,-0.016884917352715044,0.013750461741618347
residuals,0.22431032943590118,-0.9350727352751041,-0.8940027913951424,-0.9970094672704735,-0.890933994196699,0.0025541127871484327,1.0,0.002580913654681248,-0.0002555191566930035,0.008526042491957403,0.013519974979279594,-0.013854594139883878,0.0348160218013049,-0.007269883381583655,0.01053179777127731,-0.022652412593497886,-0.09390749464936378,0.00270098745915891,0.006799654656113891,-0.0963352787377824,0.0019052958397176645,-0.028285842584988317,0.012155837967186178,-0.019867966187976167,0.015853672719611245,0.0009105889980865698,0.004532635187955209,0.009176676500997728,0.013880514873761372,0.0038609997809261123,0.01653662289443803,0.0101162476578137,0.009942901346763728,0.01126939751086866,-0.022522642374942115,0.0062160291728649685,-0.027762863062634494,0.0047685202000533845,0.037452296047322586,0.002481156777849841,0.006408129251880706,-0.00014970593425891608,-0.016879395190763282,0.001350924510323105,0.00434563279936108,0.0041175317934615385,0.002568454476583556,0.0019056030502883111,0.008473127018994577,-0.02417755900275595,0.013021572311323462,0.007407822521885039,-0.0033661456687746304,0.03893976440438625,0.005027928969421279,-0.005471723313155251,-0.02215071649527223,0.012605506655108718,0.0016484544675280418,0.00798939594779587,-0.04858529079362498,0.015690503912543508,0.006002792574344423,0.011059483728058168,0.011159141803823422,0.010377180145473017,0.009416982909444222,0.005869242957984632,0.00315717442307679,0.009391559382122407,0.03683536472462523,0.01955656933816902,-0.013750291350422298,0.02079459999606671,0.0020767397630821094,0.012565885922943956,-0.0274965756616253,-0.0006520577518900473
an-inconvenient-youth,0.006839396534036047,-0.0034456811048227363,-0.004051173185888845,-0.003071487852364414,-0.004166535905262929,-0.005786282138240313,0.002580913654681248,1.0,-0.002842049140505353,-0.0034612493954071103,-0.003203097798674849,-0.0015557903463570967,-0.015081942162717299,-0.004095254417784664,-0.001891871901970736,0.0798143423603755,-0.004415350373317991,-0.0006342060918061301,-0.0012232577865892386,-0.011819088813698862,-0.0003389256167793068,-0.0018918719019707286,-0.002559646963913527,-0.0018918719019707317,-0.005526885900428029,-0.0014400148258929793,-0.0020819341906832033,-0.0015925375552345894,-0.0032671579974066513,-0.0005359565587417602,-0.010065818088526432,-0.0026162227464641944,-0.0039683110220747565,-0.003022798906607787,-0.0038686896628042163,-0.0013785335720249282,-0.006228523672180345,-0.0023821852309259526,-0.01933389126306864,-0.0003389256167793076,-0.0011250425287398177,-0.000634206091806132,0.08536728088755341,-0.0003389256167793082,-0.0016106013629998133,-0.000758117642153606,-0.00041511499347434555,-0.000415114993474347,-0.0018918719019707436,-0.0007951541933012997,-0.003435385713567137,-0.0014990059841335998,-0.0022304335319812585,-0.011921421715272329,-0.0011503763482271232,-0.0034180420285620074,-0.0014990059841336095,-0.0034353857135671706,-0.00033892561677930695,-0.0015181668770276183,-0.004131918136265477,-0.005176674106281106,-0.0009591953496873579,-0.0024546549948837116,-0.002758106282996973,-0.0022821040026104657,-0.0023821852309259687,-0.0007951541933013032,-0.0010725949527521936,-0.002025310045811742,-0.015268703303251066,-0.008967996674585909,-0.0019373497597964283,-0.0026935112790135588,-0.0025710578214514506,-0.009202627172903847,-0.006161255740507121,0.09210370367332747
arts,-0.033556742353660636,0.00038571317582576734,-0.0005232533755492242,0.0016400559129132286,0.000715029355495453,-0.002622192173929392,-0.0002555191566930035,-0.002842049140505353,1.0,-0.014508405652096159,-0.013426320064707403,-0.006521355405512196,-0.05778699323611672,0.054460868490777914,-0.0079300974474756,-0.030802716350168728,0.05771474785514382,-0.0026583808896185183,-0.0051274895731212,0.23003081677837184,-0.0014206633999405117,0.0029344489162218246,-0.010729188289029962,-0.007930097447475607,-0.02316686649123401,-0.006036062950797709,-0.008726775313989708,-0.006675387476614728,-0.013694839100229225,-0.00224655154189269,-0.04219255978558912,-0.010966335142538561,-0.016633839254213315,-0.012670567107927345,-0.005412739966896853,0.038842329855924805,-0.008755247813266847,-0.009985327758978438,-0.07611952171360756,-0.0014206633999405134,-0.0047158038956905315,-0.0026583808896185144,-0.033292019037702666,-0.00142066339994051,0.05696615813500855,-0.003177776874145608,-0.0017400239132103078,-0.001740023913210323,-0.007930097447475588,-0.0033330217717592917,-0.014399993704581247,-0.006283334255424827,-0.009349235136006651,-0.04997063269245773,-0.004821994836547484,-0.014327294748565355,-0.006283334255424868,-0.014399993704581423,-0.0014206633999405123,-0.006363650342191546,-0.012246621064503334,-0.051587931418564374,-0.004020627710714752,-0.01028909689344367,-0.011561063712546737,-0.009565820554300395,-0.009985327758978516,-0.0033330217717592917,-0.004495961110334656,-0.008489425741725886,-0.019012669262217338,-0.014637555307576707,-0.008120725493636875,0.004054112236757235,-0.010777018806593455,-0.03857435071470442,0.06879129561933046,0.0037266383574189265
baseball,0.02292156607894537,-0.008905442261677244,-0.003604478412185702,-0.009034510819505296,-0.004214469843172644,-0.002609826543805718,0.008526042491957403,-0.0034612493954071103,-0.014508405652096159,1.0,-0.0002986600900659716,-0.007942170011370916,-0.07699196041319983,-0.02090590605734363,-0.009657836173344205,-0.03751373676985786,-0.02253996716638087,-0.0032375651482640573,-0.006244621154497833,-0.0603353870639992,-0.0017301848388331345,-0.009657836173344205,0.013573306107111192,-0.009657836173344191,-0.015444090971696064,-0.007351146375805788,-0.01062808709001763,0.01315362917301262,-0.0009309577479797218,-0.0027360101045770012,-0.051385097452108536,0.01923833242599712,0.0015099378134519133,-0.004109370937102547,-0.019749313328218804,0.005244939639692466,-0.031796054037829986,-0.012160841688529237,-0.09869777875418517,-0.0017301848388331386,-0.005743241082705215,-0.003237565148264073,-0.04054538646915868,-0.0017301848388331367,-0.008221975329415123,-0.0038701224857848426,-0.0021191247652115443,-0.0021191247652115517,-0.009657836173344257,-0.004059190753587522,-0.00753669219829287,0.037551260850726936,-0.011386162892407936,0.29033864232593654,-0.005872567956262892,-0.017448797622645378,-0.007652290941339256,0.0024639511805837396,-0.0017301848388331352,0.04804592891538329,-0.021093071047861713,-0.05953598475062033,0.012729683060863771,0.0013482945539215895,0.010681418548383847,0.018171374436522485,0.0021331411702527475,0.017194408016970263,-0.00547550091697315,0.023208999912518416,-0.07794535926485728,-0.04578081771605397,-0.009889996553726008,-0.013750133207575977,-0.013125019302790772,-0.0366592209173292,-0.031452657287160624,-0.00925825193268284
